X Y Z year
2.399063400000000179e+00 -3.702721499999999999e+00 3.330474800000000180e+00 2.683325100000000020e+03
2.399793400000000076e+00 -3.697950599999999977e+00 3.333078599999999891e+00 2.683327800000000025e+03
2.400519200000000186e+00 -3.693173100000000098e+00 3.335676499999999933e+00 2.683330599999999777e+03
2.401240899999999900e+00 -3.688389100000000198e+00 3.338268600000000141e+00 2.683333299999999781e+03
2.401958299999999991e+00 -3.683598700000000115e+00 3.340854900000000072e+00 2.683335999999999785e+03
2.402671400000000013e+00 -3.678801800000000011e+00 3.343435200000000052e+00 2.683338799999999992e+03
2.403380400000000083e+00 -3.673998399999999886e+00 3.346009700000000198e+00 2.683341499999999996e+03
2.404085100000000086e+00 -3.669188600000000022e+00 3.348578299999999786e+00 2.683344300000000203e+03
2.404785599999999857e+00 -3.664372199999999857e+00 3.351140899999999867e+00 2.683347000000000207e+03
2.405481899999999840e+00 -3.659549499999999789e+00 3.353697700000000115e+00 2.683349700000000212e+03
2.406173900000000199e+00 -3.654720199999999863e+00 3.356248599999999804e+00 2.683352499999999964e+03
2.406861600000000045e+00 -3.649884500000000198e+00 3.358793499999999987e+00 2.683355199999999968e+03
2.407545100000000105e+00 -3.645042399999999905e+00 3.361332500000000056e+00 2.683358000000000175e+03
2.408224399999999932e+00 -3.640193800000000035e+00 3.363865500000000175e+00 2.683360700000000179e+03
2.408899400000000135e+00 -3.635338700000000145e+00 3.366392600000000179e+00 2.683363400000000183e+03
2.409570099999999826e+00 -3.630477299999999907e+00 3.368913699999999789e+00 2.683366199999999935e+03
2.410236499999999893e+00 -3.625609400000000093e+00 3.371428900000000173e+00 2.683368899999999940e+03
2.410898700000000172e+00 -3.620734999999999815e+00 3.373938100000000162e+00 2.683371700000000146e+03
2.411556599999999939e+00 -3.615854199999999796e+00 3.376441199999999920e+00 2.683374400000000151e+03
2.412210200000000082e+00 -3.610967000000000038e+00 3.378938400000000009e+00 2.683377100000000155e+03
2.412859599999999993e+00 -3.606073400000000095e+00 3.381429600000000146e+00 2.683379899999999907e+03
2.413504600000000000e+00 -3.601173399999999969e+00 3.383914799999999889e+00 2.683382599999999911e+03
2.414145299999999938e+00 -3.596266899999999822e+00 3.386393899999999846e+00 2.683385400000000118e+03
2.414781800000000089e+00 -3.591354100000000216e+00 3.388866999999999852e+00 2.683388100000000122e+03
2.415413899999999892e+00 -3.586434800000000145e+00 3.391334000000000071e+00 2.683390800000000127e+03
2.416041700000000070e+00 -3.581509200000000170e+00 3.393794999999999895e+00 2.683393599999999878e+03
2.416665300000000016e+00 -3.576577100000000176e+00 3.396250000000000213e+00 2.683396299999999883e+03
2.417284500000000058e+00 -3.571638699999999833e+00 3.398698899999999856e+00 2.683399100000000089e+03
2.417899300000000196e+00 -3.566693799999999914e+00 3.401141599999999876e+00 2.683401800000000094e+03
2.418509900000000101e+00 -3.561742600000000092e+00 3.403578299999999945e+00 2.683404500000000098e+03
2.419116100000000102e+00 -3.556785000000000085e+00 3.406008899999999784e+00 2.683407299999999850e+03
2.419718000000000035e+00 -3.551820999999999895e+00 3.408433399999999835e+00 2.683409999999999854e+03
2.420315500000000064e+00 -3.546850599999999964e+00 3.410851800000000100e+00 2.683412800000000061e+03
2.420908700000000024e+00 -3.541873900000000130e+00 3.413264100000000134e+00 2.683415500000000065e+03
2.421497500000000080e+00 -3.536890800000000112e+00 3.415670200000000101e+00 2.683418200000000070e+03
2.422082000000000068e+00 -3.531901400000000191e+00 3.418070100000000000e+00 2.683420999999999822e+03
2.422662100000000152e+00 -3.526905499999999805e+00 3.420463900000000113e+00 2.683423699999999826e+03
2.423237900000000167e+00 -3.521903399999999795e+00 3.422851599999999994e+00 2.683426500000000033e+03
2.423809299999999833e+00 -3.516894800000000210e+00 3.425233099999999808e+00 2.683429200000000037e+03
2.424376300000000040e+00 -3.511880000000000113e+00 3.427608400000000000e+00 2.683431900000000041e+03
2.424939000000000178e+00 -3.506858799999999832e+00 3.429977500000000123e+00 2.683434699999999793e+03
2.425497200000000131e+00 -3.501831199999999811e+00 3.432340400000000180e+00 2.683437399999999798e+03
2.426051100000000016e+00 -3.496797299999999886e+00 3.434697100000000169e+00 2.683440200000000004e+03
2.426600599999999996e+00 -3.491757100000000058e+00 3.437047600000000092e+00 2.683442900000000009e+03
2.427145700000000073e+00 -3.486710599999999882e+00 3.439391800000000110e+00 2.683445600000000013e+03
2.427686399999999800e+00 -3.481657699999999966e+00 3.441729800000000061e+00 2.683448400000000220e+03
