X Y Z velX velY velZ R year
2.335420099171954700e+00 -1.514439765904088908e+00 3.805595165981927597e+00 -1.220113005732403801e-03 6.850243642201753365e-03 -3.550062302441281750e-04 4.714898663970731540e+00 2.684344999999999800e+03
2.334196685606839683e+00 -1.507587383636804113e+00 3.805234781099388730e+00 -1.226715721659944009e-03 6.854519057370191820e-03 -3.657668939688451387e-04 4.711804922286929376e+00 2.684347000000000207e+03
2.332966664530940815e+00 -1.500730731468741252e+00 3.804863625466349930e+00 -1.233328030654836640e-03 6.858783434334666564e-03 -3.765477406323936016e-04 4.708706127439284295e+00 2.684349999999999909e+03
2.331730026341218842e+00 -1.493869820466446674e+00 3.804481678871658445e+00 -1.239949952557582898e-03 6.863036716360639521e-03 -3.873488267037996334e-04 4.705602278254271020e+00 2.684353000000000065e+03
2.330486761415113239e+00 -1.487004661753306145e+00 3.804088921047568572e+00 -1.246581506580898618e-03 6.867278846520261104e-03 -3.981702089034030306e-04 4.702493373567262935e+00 2.684356000000000222e+03
2.329236860111164820e+00 -1.480135266509682967e+00 3.803685331669488523e+00 -1.253222711264665020e-03 6.871509767835430257e-03 -4.090119441956616836e-04 4.699379412222834951e+00 2.684358000000000175e+03
2.327980312769737825e+00 -1.473261645972874678e+00 3.803270890355749501e+00 -1.259873584461339031e-03 6.875729423449094928e-03 -4.198740897768471828e-04 4.696260393075069040e+00 2.684360999999999876e+03
2.326717109713663856e+00 -1.466383811436879459e+00 3.802845576667371663e+00 -1.266534143364277196e-03 6.879937756819233183e-03 -4.307567030570496648e-04 4.693136314987777169e+00 2.684364000000000033e+03
2.325447241248895125e+00 -1.459501774252002226e+00 3.802409370107870501e+00 -1.273204404591524131e-03 6.884134711924269623e-03 -4.416598416361653366e-04 4.690007176834697589e+00 2.684367000000000189e+03
2.324170697664976526e+00 -1.452615545824226029e+00 3.801962250123080089e+00 -1.279884384334719228e-03 6.888320233462990987e-03 -4.525835632745601328e-04 4.686872977499568549e+00 2.684369000000000142e+03
2.322887469235392022e+00 -1.445725137614414457e+00 3.801504196101005650e+00 -1.286574098577397077e-03 6.892494267026165813e-03 -4.635279258597274632e-04 4.683733715876103432e+00 2.684371999999999844e+03
2.321597546217641028e+00 -1.438830561137316222e+00 3.801035187371718305e+00 -1.293273563378164381e-03 6.896656759213921906e-03 -4.744929873716765764e-04 4.680589390867826438e+00 2.684375000000000000e+03
2.320300918852970629e+00 -1.431931827960569059e+00 3.800555203207276467e+00 -1.299982795203112216e-03 6.900807657673072373e-03 -4.854788058504416227e-04 4.677440001387760837e+00 2.684376999999999953e+03
2.318997577365827567e+00 -1.425028949703674996e+00 3.800064222821672555e+00 -1.306701811281106487e-03 6.904946911034082722e-03 -4.964854393697693685e-04 4.674285546358012411e+00 2.684380000000000109e+03
2.317687511962895019e+00 -1.418121938037054441e+00 3.799562225370825441e+00 -1.313430629946045827e-03 6.909074468738333162e-03 -5.075129460211827252e-04 4.671126024709205460e+00 2.684382999999999811e+03
2.316370712831847811e+00 -1.411210804681424458e+00 3.799049189952549810e+00 -1.320169270926533538e-03 6.913190280761267147e-03 -5.185613839111900131e-04 4.667961435379885948e+00 2.684385999999999967e+03
