X Y Z VelX VelY VelZ M year r
-5.139642270501867394e+00 -1.832529141974614362e+00 9.687668072858898749e-02 2.435900284933918865e-03 -6.756503919519467154e-03 -2.079952217703118686e-05 1.844045920010060797e+02 2.702921281512753467e+03 5.457423459489358031e+00
-5.106518525664331953e+00 -1.921829625074362502e+00 9.658536273799114835e-02 2.559599223027186638e-03 -6.711178588169336087e-03 -2.313513365775560698e-05 1.855054822234224048e+02 2.702954231512753267e+03 5.457040341894287216e+00
-5.071765150986537130e+00 -2.010500929680843818e+00 9.626316944309100399e-02 2.682488278647588743e-03 -6.663700944434807101e-03 -2.546351990855216048e-05 1.866062007621752912e+02 2.702987181512753068e+03 5.456572397833665988e+00
-5.035394770574686873e+00 -2.098512077324750091e+00 9.591022193540080232e-02 2.804530018598319456e-03 -6.614085450466097166e-03 -2.778397168041302602e-05 1.877067134485864983e+02 2.703020131512752869e+03 5.456019813461131740e+00
-4.997420644858077132e+00 -2.185832368690820093e+00 9.552665347260888562e-02 2.925687267783167768e-03 -6.562347219623287931e-03 -3.009578214125024342e-05 1.888069862054253178e+02 2.703053081512752669e+03 5.455382808492353242e+00
-4.957856663481580384e+00 -2.272431398271120617e+00 9.511260940122109875e-02 3.045923120530345547e-03 -6.508502011872705287e-03 -3.239824709120221210e-05 1.899069850619675606e+02 2.703086031512752470e+03 5.454661636063621089e+00
-4.916717337804844767e+00 -2.358279068803792011e+00 9.466824707154433693e-02 3.165200951834342639e-03 -6.452566228986245621e-03 -3.469066517714046850e-05 1.910066761689716657e+02 2.703118981512752271e+03 5.453856582569112987e+00
-4.874017793015892330e+00 -2.443345605484819494e+00 9.419373574510757352e-02 3.283484428512294800e-03 -6.394556909545224752e-03 -3.697233810630930510e-05 1.921060258135595404e+02 2.703151931512752071e+03 5.452967967477079014e+00
-4.829773759867205918e+00 -2.527601569940753468e+00 9.368925649462260530e-02 3.400737520271359445e-03 -6.334491723750296059e-03 -3.924257085903124409e-05 1.932050004339911595e+02 2.703184881512751872e+03 5.451996143125129812e+00
-4.784001566042831222e+00 -2.611017873950824963e+00 9.315500209659817454e-02 3.516924510683916861e-03 -6.272388968038929667e-03 -4.150067190041734235e-05 1.943035666343209300e+02 2.703217831512751673e+03 5.450941494494924378e+00
-4.736718127165379322e+00 -2.693565792907025802e+00 9.259117691672640038e-02 3.632010008067171683e-03 -6.208267559512108472e-03 -4.374595339101588283e-05 1.954016911989258745e+02 2.703250781512751473e+03 5.449804438966481257e+00
-4.687940937452351520e+00 -2.775216979001155604e+00 9.199799678817138782e-02 3.745958956263772781e-03 -6.142147030172022577e-03 -4.597773139633451895e-05 1.964993411068936950e+02 2.703283731512751274e+03 5.448585426052432901e+00
-4.637688060031452508e+00 -2.855943474128270765e+00 9.137568888289729352e-02 3.858736645320240584e-03 -6.074047520972437886e-03 -4.819532609517290008e-05 1.975964835462600035e+02 2.703316681512751074e+03 5.447284937112521597e+00
-4.585978116924986026e+00 -2.935717722496352877e+00 9.072449157617933080e-02 3.970308722059977431e-03 -6.003989775683559425e-03 -5.039806198670324008e-05 1.986930859280854520e+02 2.703349631512750875e+03 5.445903485048718018e+00
-4.532830278713769978e+00 -3.014512582932388440e+00 9.004465430445049434e-02 4.080641200547604000e-03 -5.931995134573253385e-03 -5.258526809623498960e-05 1.997891159003605708e+02 2.703382581512750676e+03 5.444441613981259920e+00
-4.478264253891391711e+00 -3.092301340875410531e+00 8.933643741664472337e-02 4.189700472441347523e-03 -5.858085527906633193e-03 -5.475627817959904806e-05 2.008845413617301858e+02 2.703415531512750476e+03 5.442899898906058631e+00
-4.422300277919802625e+00 -3.169057720047696147e+00 8.860011201920059420e-02 4.297453317230500239e-03 -5.782283469265880535e-03 -5.691043092609278522e-05 2.019793304750257050e+02 2.703448481512750277e+03 5.441278945333833938e+00
-4.364959101997651914e+00 -3.244755893795573609e+00 8.783595981490002758e-02 4.403866912354735368e-03 -5.704612048692348295e-03 -5.904707015992227730e-05 2.030734516805981116e+02 2.703481431512750078e+03 5.439579388911411684e+00
-4.306261981553065610e+00 -3.319370496091721634e+00 8.704427293572165880e-02 4.508908843202111272e-03 -5.625094925653175391e-03 -6.116554504007858247e-05 2.041668737094396988e+02 2.703514381512749878e+03 5.437801895025641485e+00
-4.246230664472656180e+00 -3.392876632191548225e+00 8.622535376989283462e-02 4.612547112982921457e-03 -5.543756321834344275e-03 -6.326521025859089111e-05 2.052595655960876968e+02 2.703547331512749679e+03 5.435947158390347589e+00
-4.184887379078943148e+00 -3.465249888936465794e+00 8.537951478333170863e-02 4.714750152476243628e-03 -5.460621013762509933e-03 -6.534542623709412793e-05 2.063514966913013211e+02 2.703580281512749480e+03 5.434015902616872395e+00
